   RJ45-TRANSFO,1,               ,J5,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=240-2396-1-ND,,,
       RP4_100K,1,               ,RP1,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RAVF164DJT100KCT-ND,,,
        RP8_10K,1,               ,RP2,,,,
       RP8_330R,1,               ,RP3,,,,
         RP8_75,1,               ,RP4,,,,
          SDBMF,1,farnell-SDBMF-009XXBXX2,X4,,,,
         SI1563,1,               ,U6,,,,
         SOCKET,1,               ,OSC2,,,,
             SW,1,               ,SW5,,,,
        SW_PUSH,4,               ,"SW1, SW2, SW3, SW4",,,,
    TLV320AIC23,1,               ,U17,296-11625-5-ND,,,
       TPS60500,1,               ,U8,,,,
      TSOP348xx,1,               ,U18,http://search.digikey.com/scripts/DkSearch/dksus.dll?lang=en&site=US&KeyWords=TSOP348&x=0&y=0,,,
            USB,1,               ,J7,,,,
          USB_2,1,               ,J6, VCC,  D+,  D-, GND
            VGA,1,               ,J9,,,,
         WAKEUP,1,               ,SW?,,,,
 XC3S250E-VQ100,1,xilinx-xc3sxxxe_vq100-VQ100,IC2,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=122-1525-ND,,,
